"abbreviation","expansion"
"iavp","interim assistant vice president"
"ibd","inflammatory bower disease"
"idx","represents a billing computer name (iupui)"
"imag","imaging"
"immun","immunization"
"ims","instructional media services"
"infec","infection"
"info","information"
"init","initiatives"
"insp","inspector"
"inst","institution"
"install","install"
"instr","instruction"
"interlibr","interlibrary"
"intnl","international"
"intrm","intramural"
"intrn","internship"
"intrrel","interrelations"
"inv","invasive"
"invest","investigations"
"io","information on-line"
"iocm","information online catalog management"
"it","information technology"
"jr","junior"
"lab","laboratory"
"lan","local area network"
"lang","language"
"las","liberal arts sciences"
"ld","lead"
"lead","leader"
"lec","lecturer"
"libr","library"
"lic","licensed"
"lrng","learning"
"mach","machine"
"maint","maintenance"
"mammo","mammography"
"math","mathematics"
"mbdc","major business development center"
"mech","mechanic"
"med","medical"
"medcn","medicine"
"member","member"
"merp","medical educational resources program"
"meth","methodist"
"mgr","manager"
"mgt","management"
"micro","microscope"
"min","minority"
"mktg","marketing"
"mms","maintenance management system"
"mngng","managing"
"mol","molecular"
"mom","mom"
"mri","magnetic resonance imaging"
"msaa","medical student academic affairs"
"msms","masters of science in medical sciences program & special programs"
"msw","master of social work"
"multim","multimedia"
"natl","national"
"neo/peri","neonatal/perinatal"
"nghborhd","neighborhood"
"ngt","night"
"nic","nicotine"
"nih","national institute of health"
"nmr","nuclear magnetic resonance"
"nrsg","nursing"
"nw","network"
"nwborn","newborn"
"ob/gyn","obstetrics/gynecology"
"occup","occupation"
"off","officer"
"oncol","oncology"
"oper","operator"
"optom","optometric"
"ortho","orthopaedic"
"osce","objective structured clinical exam"
"outpat","outpatient"
"p/t","part time"
"pa","physicians assistant"
"pat","patient"
"path","pathology"
"pdds","publishing document distribution services"
"ped","pediatrics"
"per","personnel"
"pet","positron emission tomography"
"photocomp","photocomposition"
"photographr","photographer"
"phys","physical"
"physio","physiologist"
"physn","physician"
"pl","placement"
"plan","planning"
"pol","policy"
"pos","point of service"
"pract","practice"
"precrtn","precertification"
"prena","pre-natal"
"prep","preparation"
"pres","president"
"presnt","presentation"
"prev","preventive"
"prin","principal"
"prn","nurses as needed"
"prnt","parent"
"prob","problem"
"proc","processing"
"prod","production"
"produ","producer"
"prof","professional"
"prog","program"
"proj","project"
"prom","promotions"
"prtnr","partner"
"psych","psychiatry"
"psychol","psychological"
"pt","physical therapist"
"pta","physical therapist assistant"
"publ","publication"
"pur","purchasing"
"qa","quality assurance"
"qc","quality control"
"qual","quality"
"radio","radiology"
"rccc","riley children's cancer center"
"rec","receiving"
"recr","recruitment"
"recre","recreation"
"redrc","reduction"
"redrc","regional economic development resource center"
"refrig","refrigeration"
"reg","regional"
"regr","registrar"
"rehab","rehabilitation"
"reimburse","reimburse"
"rel","relation"
"rep","representative"
"res","research"
"resid","resident"
"resnet","research network"
"reso","resource"
"resp","respiratory"
"s r","ser sponsored research services"
"s/l","speech/language"
"safe","safety"
"sbdc","small business development center"
"sbdc","south bend"
"scan","scanning"
"sched","scheduler"
"schl","school"
"sci","science"
"scndry","secondary"
"sea","southeast asia"
"sec","secretary"
"sem","search engine marketing"
"sect","section"
"ser","service"
"ship","shipping"
"shoot","shooting"
"soc","social"
"span","special program for academic nurturing"
"spec","specialist"
"spec ed","special education"
"spect","spectrometry"
"spon","sponsored"
"sr","senior"
"srsc","student recreational sports center"
"statis","statistical"
"stdy","study"
"stf","staff"
"stu","student"
"supp","support"
"supr","supervisor"
"supt","superintendent"
"swim","swimming"
"sys","system"
"tchng","teaching"
"tech","technician"
"technol","technologist"
"telc","telecommunications"
"temp","temporary"
"test","testing"
"ther","therapy"
"thtr","theatre"
"tis","tissue"
"tox","toxicology"
"trans","transfer"
"transcpt","transcriptionst"
"transport","transportation"
"trne","trainee"
"trng","training"
"trnr","trainer"
"trnsplt","transplant"
"ucet","university center for excellence in training"
"ug","undergraduate"
"ui","user interface"
"ui/ux","user experience"
"ultra","ultrasound"
"umda","university medical diagnostic association"
"unemploy","unemployment"
"univ","university"
"upa","university pediatrics association"
"util","utilities"
"ux","user experience"
"vars","varsity"
"vb","visual basic"
"vc","vice chancellor"
"vclub","varsity club"
"vet","veteran"
"vp","vice president"
"warehs","warehouse"
"wctr","wells center"
"wellns","wellness"
"wkr","worker"
"wstrn","western"
"wctr","wells center"
"wellns","wellness"
"wkr worker","worker"
"wstrn","western"
