UA,UANAME,CBSA,MNAME,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
57520,"Minden, NE Urban Cluster",28260,"Kearney, NE Micro Area",2,2891,1326,3660603,3660603,2891,1326,3660603,3660603,52591,21950,3863610333,3844464249,100,100,100,100,5.5,6.04,.09,.1
57547,"Mineola, TX Urban Cluster",99999,"Not in a metro/micro area",,5608,2527,16043435,15732343,5608,2527,16043435,15732343,,,,,100,100,100,100,,,,
57574,"Mineral Wells, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1,2114,43,2040304,2040304,16109,6056,22088805,22021461,6371773,2502075,24048612908,23122123423,13.12,.71,9.24,9.27,.03,0,.01,.01
57574,"Mineral Wells, TX Urban Cluster",33420,"Mineral Wells, TX Micro Area",2,13995,6013,20048501,19981157,16109,6056,22088805,22021461,28111,15214,2552454857,2465126895,86.88,99.29,90.76,90.73,49.78,39.52,.79,.81
57601,"Minerva, OH Urban Cluster",15940,"Canton-Massillon, OH Metro Area",1,4037,1856,4618546,4618546,4579,2108,6031627,6031627,404422,178913,2536796769,2511976008,88.16,88.05,76.57,76.57,1,1.04,.18,.18
57601,"Minerva, OH Urban Cluster",20620,"East Liverpool-Salem, OH Micro Area",2,542,252,1413081,1413081,4579,2108,6031627,6031627,107841,47088,1384837162,1377597314,11.84,11.95,23.43,23.43,.5,.54,.1,.1
57628,"Minneapolis--St. Paul, MN--WI Urbanized Area",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1,2650890,1110565,2878583639,2646456610,2650890,1110565,2878583639,2646456610,3279833,1354973,16482106382,15610299031,100,100,100,100,80.82,81.96,17.46,16.95
57655,"Minot, ND Urban Cluster",33500,"Minot, ND Micro Area",2,42650,19484,58150951,58052845,42650,19484,58150951,58052845,69540,31078,12587990308,12339445388,100,100,100,100,61.33,62.69,.46,.47
57682,"Minot AFB, ND Urban Cluster",33500,"Minot, ND Micro Area",2,5521,1463,10768939,10768939,5521,1463,10768939,10768939,69540,31078,12587990308,12339445388,100,100,100,100,7.94,4.71,.09,.09
57709,"Mission Viejo--Lake Forest--San Clemente, CA Urbanized Area",31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",1,575581,228611,370684511,368292132,583681,229845,392253994,389861615,12828837,4493983,14760360453,12557430733,98.61,99.46,94.5,94.47,4.49,5.09,2.51,2.93
57709,"Mission Viejo--Lake Forest--San Clemente, CA Urbanized Area",41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",1,8100,1234,21569483,21569483,583681,229845,392253994,389861615,3095313,1164786,11721468557,10895120648,1.39,.54,5.5,5.53,.26,.11,.18,.2
57736,"Missoula, MT Urbanized Area",33540,"Missoula, MT Metro Area",1,82157,37070,117695670,117074956,82157,37070,117695670,117074956,109299,50106,6781415413,6716936093,100,100,100,100,75.17,73.98,1.74,1.74
57763,"Missouri Valley, IA Urban Cluster",36540,"Omaha-Council Bluffs, NE-IA Metro Area",1,2819,1284,3487528,3487528,2819,1284,3487528,3487528,865350,362327,11414584053,11265534804,100,100,100,100,.33,.35,.03,.03
57790,"Mitchell, IN Urban Cluster",13260,"Bedford, IN Micro Area",2,4193,1932,7725740,7711916,4193,1932,7725740,7711916,46134,21074,1170490550,1163339936,100,100,100,100,9.09,9.17,.66,.66
57817,"Mitchell, SD Urban Cluster",33580,"Mitchell, SD Micro Area",2,14955,6979,17712068,17691336,14955,6979,17712068,17691336,22835,10029,2259232640,2253466383,100,100,100,100,65.49,69.59,.78,.79
57844,"Moab, UT Urban Cluster",99999,"Not in a metro/micro area",,6883,3148,11081307,11081307,6883,3148,11081307,11081307,,,,,100,100,100,100,,,,
57871,"Moapa Valley, NV Urban Cluster",29820,"Las Vegas-Paradise, NV Metro Area",1,5907,2382,19077940,19077940,5907,2382,19077940,19077940,1951269,840343,20877405942,20438710673,100,100,100,100,.3,.28,.09,.09
57898,"Moberly, MO Urban Cluster",33620,"Moberly, MO Micro Area",2,13933,5688,22176394,22173773,13933,5688,22176394,22173773,25414,10714,1263461250,1250145642,100,100,100,100,54.82,53.09,1.76,1.77
57925,"Mobile, AL Urbanized Area",33660,"Mobile, AL Metro Area",1,326183,142178,586906731,576933846,326183,142178,586906731,576933846,412992,178196,4257973582,3184223082,100,100,100,100,78.98,79.79,13.78,18.12
57952,"Mobridge, SD Urban Cluster",99999,"Not in a metro/micro area",,3457,1730,4445295,4445295,3457,1730,4445295,4445295,,,,,100,100,100,100,,,,
57979,"Mocksville, NC Urban Cluster",49180,"Winston-Salem, NC Metro Area",1,5191,2270,15477074,15442679,5191,2270,15477074,15442679,477717,214375,3814844718,3770865122,100,100,100,100,1.09,1.06,.41,.41
58006,"Modesto, CA Urbanized Area",33700,"Modesto, CA Metro Area",1,358172,124923,238878807,237964402,358172,124923,238878807,237964402,514453,179503,3923020227,3871582888,100,100,100,100,69.62,69.59,6.09,6.15
58020,"Mojave, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",1,3236,1385,5126393,5126393,3236,1385,5126393,5126393,839631,284367,21141142333,21061565098,100,100,100,100,.39,.49,.02,.02
58033,"Molalla, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1,8752,3267,9439673,9439673,8752,3267,9439673,9439673,2226009,925076,17667203876,17310825110,100,100,100,100,.39,.35,.05,.05
58060,"Momence, IL Urban Cluster",28100,"Kankakee-Bradley, IL Metro Area",1,3777,1538,5051161,4699094,3777,1538,5051161,4699094,113449,45246,1764723117,1752271023,100,100,100,100,3.33,3.4,.29,.27
58087,"Monahans, TX Urban Cluster",99999,"Not in a metro/micro area",,7686,3305,16199639,16168172,7686,3305,16199639,16168172,,,,,100,100,100,100,,,,
58168,"Monessen--California, PA Urbanized Area",38300,"Pittsburgh, PA Metro Area",1,66086,32513,119360457,115818048,66086,32513,119360457,115818048,2356285,1102048,13836883161,13678960186,100,100,100,100,2.8,2.95,.86,.85
58195,"Monett, MO Urban Cluster",99999,"Not in a metro/micro area",,8470,3650,12365016,12346546,8470,3650,12365016,12346546,,,,,100,100,100,100,,,,
58222,"Monmouth, IL Urban Cluster",23660,"Galesburg, IL Micro Area",2,9654,3882,10043115,10043115,9654,3882,10043115,10043115,70626,31759,3270800927,3260277296,100,100,100,100,13.67,12.22,.31,.31
58249,"Monmouth--Independence, OR Urban Cluster",41420,"Salem, OR Metro Area",1,18167,6652,14082491,14031690,18167,6652,14082491,14031690,390738,151250,5015300239,4980838711,100,100,100,100,4.65,4.4,.28,.28
58303,"Monroe, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1,15854,6575,37744142,37227365,15854,6575,37744142,37227365,5268860,2165495,21965773272,21596721304,100,100,100,100,.3,.3,.17,.17
58330,"Monroe, LA Urbanized Area",33740,"Monroe, LA Metro Area",1,116533,49410,217237422,212228535,116533,49410,217237422,212228535,176441,75827,3981210197,3852334076,100,100,100,100,66.05,65.16,5.46,5.51
58357,"Monroe, MI Urbanized Area",33780,"Monroe, MI Metro Area",1,51240,22393,85614171,83138329,51240,22393,85614171,83138329,152021,62971,1761240519,1422924260,100,100,100,100,33.71,35.56,4.86,5.84
58384,"Monroe, WI Urban Cluster",33820,"Monroe, WI Micro Area",2,10883,5121,11413414,11413414,10883,5121,11413414,11413414,36842,15856,1513756591,1512440867,100,100,100,100,29.54,32.3,.75,.75
58411,"Monroeville, AL Urban Cluster",99999,"Not in a metro/micro area",,4834,2296,13333786,13315557,4834,2296,13333786,13315557,,,,,100,100,100,100,,,,
58420,"Montauk, NY Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",1,2719,3490,13193360,12497287,2719,3490,13193360,12497287,18897109,7527752,23857986221,17318990602,100,100,100,100,.01,.05,.06,.07
58428,"Mont Belvieu, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",1,3094,1148,6691858,6691858,3094,1148,6691858,6691858,5946800,2308205,26085660453,22863087517,100,100,100,100,.05,.05,.03,.03
58438,"Monterey, TN Urban Cluster",18260,"Cookeville, TN Micro Area",2,3010,1237,7412745,7412745,3010,1237,7412745,7412745,106042,48020,2996416920,2960112930,100,100,100,100,2.84,2.58,.25,.25
58469,"Montesano--Elma, WA Urban Cluster",10140,"Aberdeen, WA Micro Area",2,8522,3558,14400417,14316968,8522,3558,14400417,14316968,72797,35166,5761183504,4926225833,100,100,100,100,11.71,10.12,.25,.29
58519,"Montevideo, MN Urban Cluster",99999,"Not in a metro/micro area",,5338,2490,7476849,7438192,5338,2490,7476849,7438192,,,,,100,100,100,100,,,,
58546,"Monte Vista, CO Urban Cluster",99999,"Not in a metro/micro area",,4489,1974,5491446,5444967,4489,1974,5491446,5444967,,,,,100,100,100,100,,,,
58573,"Montezuma, GA Urban Cluster",99999,"Not in a metro/micro area",,6900,2405,15442971,15315240,6900,2405,15442971,15315240,,,,,100,100,100,100,,,,
58600,"Montgomery, AL Urbanized Area",33860,"Montgomery, AL Metro Area",1,263907,112998,401288844,397762819,263907,112998,401288844,397762819,374536,161573,7216773350,7026840296,100,100,100,100,70.46,69.94,5.56,5.66
58627,"Montgomery, MN Urban Cluster",99999,"Not in a metro/micro area",,2586,1150,3151212,3151212,2586,1150,3151212,3151212,,,,,100,100,100,100,,,,
58654,"Montgomery, PA Urban Cluster",30260,"Lewisburg, PA Micro Area",2,4137,137,3405689,3405689,6453,1106,7513880,7498197,44947,16997,823038441,818389897,64.11,12.39,45.33,45.42,9.2,.81,.41,.42
58654,"Montgomery, PA Urban Cluster",48700,"Williamsport, PA Metro Area",1,2316,969,4108191,4092508,6453,1106,7513880,7498197,116111,52500,3221518155,3182044798,35.89,87.61,54.67,54.58,1.99,1.85,.13,.13
58664,"Montgomery, WV Urban Cluster",16620,"Charleston, WV Metro Area",1,1431,741,1861612,1774475,4689,2433,6431490,6088214,304284,141585,6596504666,6546817687,30.52,30.46,28.95,29.15,.47,.52,.03,.03
58664,"Montgomery, WV Urban Cluster",36060,"Oak Hill, WV Micro Area",2,3258,1692,4569878,4313739,4689,2433,6431490,6088214,46039,21618,1731012578,1713406009,69.48,69.54,71.05,70.85,7.08,7.83,.26,.25
58675,"Montgomery City, MO Urban Cluster",99999,"Not in a metro/micro area",,2629,1215,4522720,4506161,2629,1215,4522720,4506161,,,,,100,100,100,100,,,,
58708,"Monticello, AR Urban Cluster",99999,"Not in a metro/micro area",,9505,4109,25251968,25182208,9505,4109,25251968,25182208,,,,,100,100,100,100,,,,
58721,"Monticello, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1,2535,1102,5081767,5061531,2535,1102,5081767,5061531,5268860,2165495,21965773272,21596721304,100,100,100,100,.05,.05,.02,.02
58735,"Monticello, IL Urban Cluster",16580,"Champaign-Urbana, IL Metro Area",1,5410,2439,9008038,9008038,5410,2439,9008038,9008038,231891,101120,4983387074,4975583322,100,100,100,100,2.33,2.41,.18,.18
58762,"Monticello, IN Urban Cluster",29140,"Lafayette, IN Metro Area",1,740,646,1530410,1508341,8634,5089,18626093,16799426,201789,84505,3327540690,3311163957,8.57,12.69,8.22,8.98,.37,.76,.05,.05
58762,"Monticello, IN Urban Cluster",99999,"Not in a metro/micro area",,7894,4443,17095683,15291085,8634,5089,18626093,16799426,,,,,91.43,87.31,91.78,91.02,,,,
58789,"Monticello, IA Urban Cluster",16300,"Cedar Rapids, IA Metro Area",1,3180,1540,2956818,2956818,3180,1540,2956818,2956818,257940,112257,5231771006,5202679068,100,100,100,100,1.23,1.37,.06,.06
58816,"Monticello, KY Urban Cluster",99999,"Not in a metro/micro area",,6716,3090,14838229,14755536,6716,3090,14838229,14755536,,,,,100,100,100,100,,,,
58843,"Monticello, NY Urban Cluster",99999,"Not in a metro/micro area",,7868,3824,11290941,11283068,7868,3824,11290941,11283068,,,,,100,100,100,100,,,,
58870,"Monticello--Big Lake, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1,25536,9496,46924701,43660582,25536,9496,46924701,43660582,3279833,1354973,16482106382,15610299031,100,100,100,100,.78,.7,.28,.28
58924,"Montpelier, OH Urban Cluster",99999,"Not in a metro/micro area",,3929,1803,5318016,5306005,3929,1803,5318016,5306005,,,,,100,100,100,100,,,,
58951,"Montrose, CO Urban Cluster",33940,"Montrose, CO Micro Area",2,22706,10001,46969883,46969883,22706,10001,46969883,46969883,41276,18250,5808296498,5803373218,100,100,100,100,55.01,54.8,.81,.81
58961,"Montrose, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1,4470,1779,8866542,6913814,4470,1779,8866542,6913814,3279833,1354973,16482106382,15610299031,100,100,100,100,.14,.13,.05,.04
58972,"Moodus, CT Urban Cluster",25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1,2701,1286,10647741,10174135,2701,1286,10647741,10174135,1212381,507049,4161422348,3922826533,100,100,100,100,.22,.25,.26,.26
58992,"Moorefield, WV Urban Cluster",99999,"Not in a metro/micro area",,2732,1302,4663138,4656469,2732,1302,4663138,4656469,,,,,100,100,100,100,,,,
59005,"Moore Haven, FL Urban Cluster",99999,"Not in a metro/micro area",,3205,1201,5763367,5530990,3205,1201,5763367,5530990,,,,,100,100,100,100,,,,
59059,"Moorhead, MS Urban Cluster",26940,"Indianola, MS Micro Area",2,2567,747,2807177,2807177,2567,747,2807177,2807177,29450,9685,1830934477,1807175516,100,100,100,100,8.72,7.71,.15,.16
59098,"Moose Lake, MN Urban Cluster",20260,"Duluth, MN-WI Metro Area",1,2929,800,10964509,9559946,3080,935,11916799,10410956,279771,141539,23865346621,21789357707,95.1,85.56,92.01,91.83,1.05,.57,.05,.04
59098,"Moose Lake, MN Urban Cluster",99999,"Not in a metro/micro area",,151,135,952290,851010,3080,935,11916799,10410956,,,,,4.9,14.44,7.99,8.17,,,,
59113,"Mora, MN Urban Cluster",99999,"Not in a metro/micro area",,3670,1714,6846129,6360875,3670,1714,6846129,6360875,,,,,100,100,100,100,,,,
59167,"Morehead, KY Urban Cluster",99999,"Not in a metro/micro area",,7282,2665,12805243,12671985,7282,2665,12805243,12671985,,,,,100,100,100,100,,,,
59194,"Morehead City, NC Urban Cluster",33980,"Morehead City, NC Micro Area",2,44798,35096,134213535,123620282,44798,35096,134213535,123620282,66469,48179,3472203550,1311185243,100,100,100,100,67.4,72.85,3.87,9.43
59210,"Morgan, UT Urban Cluster",36260,"Ogden-Clearfield, UT Metro Area",1,3518,1151,6226622,6226622,3518,1151,6226622,6226622,547184,186763,4931996178,3843693531,100,100,100,100,.64,.62,.13,.16
59221,"Morgan City, LA Urban Cluster",34020,"Morgan City, LA Micro Area",2,31994,13573,59759109,57221313,32022,13590,62463290,59716474,54650,23028,2899291519,1438424557,99.91,99.87,95.67,95.82,58.54,58.94,2.06,3.98
59221,"Morgan City, LA Urban Cluster",38200,"Pierre Part, LA Micro Area",2,28,17,2704181,2495161,32022,13590,62463290,59716474,23421,10351,944129737,877120860,.09,.13,4.33,4.18,.12,.16,.29,.28
59248,"Morganfield, KY Urban Cluster",99999,"Not in a metro/micro area",,5210,1755,7797966,7791197,5210,1755,7797966,7791197,,,,,100,100,100,100,,,,
59275,"Morgantown, WV Urbanized Area",34060,"Morgantown, WV Metro Area",1,70350,32056,100411158,97111353,70350,32056,100411158,97111353,129709,58335,2634712909,2612952673,100,100,100,100,54.24,54.95,3.81,3.72
59302,"Morrilton, AR Urban Cluster",99999,"Not in a metro/micro area",,6272,2883,14807339,14718143,6272,2883,14807339,14718143,,,,,100,100,100,100,,,,
59329,"Morris, IL Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",1,15668,6774,26564028,26109989,15668,6774,26564028,26109989,9461105,3797247,24808450390,18639638965,100,100,100,100,.17,.18,.11,.14
59356,"Morris, MN Urban Cluster",99999,"Not in a metro/micro area",,5123,2109,6748786,6748786,5123,2109,6748786,6748786,,,,,100,100,100,100,,,,
59383,"Morrison, IL Urban Cluster",44580,"Sterling, IL Micro Area",2,4139,1837,5353184,5353184,4139,1837,5353184,5353184,58498,25770,1803995335,1772198878,100,100,100,100,7.08,7.13,.3,.3
59410,"Morristown, TN Urbanized Area",34100,"Morristown, TN Metro Area",1,59036,25167,155363289,154988875,59036,25167,155363289,154988875,136608,61356,2052740925,1854061138,100,100,100,100,43.22,41.02,7.57,8.36
59437,"Morro Bay--Los Osos, CA Urban Cluster",42020,"San Luis Obispo-Paso Robles, CA Metro Area",1,26772,15046,30997734,30941884,26772,15046,30997734,30941884,269637,117315,9364223107,8543248461,100,100,100,100,9.93,12.83,.33,.36
59464,"Morton, MS Urban Cluster",99999,"Not in a metro/micro area",,2979,1083,6137085,6137085,2979,1083,6137085,6137085,,,,,100,100,100,100,,,,
59491,"Moscow, ID Urban Cluster",34140,"Moscow, ID Micro Area",2,24212,10065,15285321,15277411,24212,10065,15285321,15277411,37244,15988,2789188621,2786815890,100,100,100,100,65.01,62.95,.55,.55
59501,"Moscow, PA Urban Cluster",42540,"Scranton--Wilkes-Barre, PA Metro Area",1,2811,1112,7071431,7071431,2811,1112,7071431,7071431,563631,258834,4600409951,4524019996,100,100,100,100,.5,.43,.15,.16
59518,"Moses Lake, WA Urban Cluster",34180,"Moses Lake, WA Micro Area",2,32978,12875,82053593,68865769,32978,12875,82053593,68865769,89120,35083,7229482404,6939907170,100,100,100,100,37,36.7,1.13,.99
59545,"Moulton, AL Urban Cluster",19460,"Decatur, AL Metro Area",1,2919,1385,8404207,8389823,2919,1385,8404207,8389823,153829,66422,3409076212,3289322887,100,100,100,100,1.9,2.09,.25,.26
59572,"Moultrie, GA Urban Cluster",34220,"Moultrie, GA Micro Area",2,18677,7843,48445222,47093766,18677,7843,48445222,47093766,45498,18311,1441688666,1409350694,100,100,100,100,41.05,42.83,3.36,3.34
59605,"Moundville, AL Urban Cluster",46220,"Tuscaloosa, AL Metro Area",1,2578,1031,8067950,8051103,2578,1031,8067950,8051103,219461,97534,6909292657,6767139886,100,100,100,100,1.17,1.06,.12,.12
59626,"Mountain City, TN Urban Cluster",99999,"Not in a metro/micro area",,2698,1304,7683881,7683881,2698,1304,7683881,7683881,,,,,100,100,100,100,,,,
59653,"Mountain Grove, MO Urban Cluster",99999,"Not in a metro/micro area",,4603,2213,7111493,7074093,4603,2213,7111493,7074093,,,,,100,100,100,100,,,,
59680,"Mountain Home, AR Urban Cluster",34260,"Mountain Home, AR Micro Area",2,14180,7259,28587014,28546325,14180,7259,28587014,28546325,41513,22580,1519584763,1435587546,100,100,100,100,34.16,32.15,1.88,1.99
59707,"Mountain Home, ID Urban Cluster",34300,"Mountain Home, ID Micro Area",2,16531,7215,19623998,19615147,16531,7215,19623998,19615147,27038,12162,8030918009,7963533304,100,100,100,100,61.14,59.32,.24,.25
59734,"Mountain Home AFB, ID Urban Cluster",34300,"Mountain Home, ID Micro Area",2,3238,1125,20153418,19842014,3238,1125,20153418,19842014,27038,12162,8030918009,7963533304,100,100,100,100,11.98,9.25,.25,.25
59745,"Mountain House, CA Urban Cluster",44700,"Stockton, CA Metro Area",1,9616,3214,3715374,3715374,9616,3214,3715374,3715374,685306,233755,3694614642,3603505998,100,100,100,100,1.4,1.37,.1,.1
59761,"Mountain Lake Park, MD Urban Cluster",99999,"Not in a metro/micro area",,4720,2256,10907435,10866110,4720,2256,10907435,10866110,,,,,100,100,100,100,,,,
59815,"Mount Airy, NC--VA Urban Cluster",34340,"Mount Airy, NC Micro Area",2,19419,9293,62286866,61806531,19457,9310,62466698,61986363,73673,33667,1389020036,1378304182,99.8,99.82,99.71,99.71,26.36,27.6,4.48,4.48
59815,"Mount Airy, NC--VA Urban Cluster",99999,"Not in a metro/micro area",,38,17,179832,179832,19457,9310,62466698,61986363,,,,,.2,.18,.29,.29,,,,
59827,"Mount Angel, OR Urban Cluster",41420,"Salem, OR Metro Area",1,3568,1312,3322719,3322719,3568,1312,3322719,3322719,390738,151250,5015300239,4980838711,100,100,100,100,.91,.87,.07,.07
59842,"Mount Carmel, IL Urban Cluster",99999,"Not in a metro/micro area",,7300,3488,10262931,10262931,7300,3488,10262931,10262931,,,,,100,100,100,100,,,,
59896,"Mount Gilead, OH Urban Cluster",18140,"Columbus, OH Metro Area",1,3884,1789,5984158,5984158,3884,1789,5984158,5984158,1836536,792340,10396641233,10275003941,100,100,100,100,.21,.23,.06,.06
59910,"Mount Holly Springs, PA Urban Cluster",25420,"Harrisburg-Carlisle, PA Metro Area",1,4416,1802,9436163,9159873,4416,1802,9436163,9159873,549475,240818,4309783541,4200832960,100,100,100,100,.8,.75,.22,.22
59923,"Mount Hood Village, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1,3638,2083,11038035,11038035,3638,2083,11038035,11038035,2226009,925076,17667203876,17310825110,100,100,100,100,.16,.23,.06,.06
59950,"Mount Horeb, WI Urban Cluster",31540,"Madison, WI Metro Area",1,6997,2822,7328695,7328695,6997,2822,7328695,7328695,568593,252878,7257540566,7058620055,100,100,100,100,1.23,1.12,.1,.1
59977,"Mount Morris, IL Urban Cluster",40300,"Rochelle, IL Micro Area",2,3457,1632,5268721,5268721,3457,1632,5268721,5268721,53497,22561,1976123405,1964698351,100,100,100,100,6.46,7.23,.27,.27
60004,"Mount Morris, NY Urban Cluster",40380,"Rochester, NY Metro Area",1,4028,1830,8517698,8517698,4028,1830,8517698,8517698,1054323,455397,12613210563,7583793600,100,100,100,100,.38,.4,.07,.11
60031,"Mount Olive, NC Urban Cluster",24140,"Goldsboro, NC Metro Area",1,4667,2156,7772433,7772433,5196,2380,8642332,8642332,122623,52949,1442241153,1432488557,89.82,90.59,89.93,89.93,3.81,4.07,.54,.54
60031,"Mount Olive, NC Urban Cluster",99999,"Not in a metro/micro area",,529,224,869899,869899,5196,2380,8642332,8642332,,,,,10.18,9.41,10.07,10.07,,,,
60058,"Mount Orab, OH Urban Cluster",17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",1,3030,1223,7087887,7087887,3030,1223,7087887,7087887,2130151,917396,11566300495,11374928023,100,100,100,100,.14,.13,.06,.06
60085,"Mount Pleasant, IA Urban Cluster",99999,"Not in a metro/micro area",,8636,3349,14966875,14966875,8636,3349,14966875,14966875,,,,,100,100,100,100,,,,
60112,"Mount Pleasant, MI Urban Cluster",34380,"Mount Pleasant, MI Micro Area",2,37447,13763,43444379,43064221,37447,13763,43444379,43064221,70311,28381,1496186077,1483225590,100,100,100,100,53.26,48.49,2.9,2.9
60139,"Mount Pleasant, TN Urban Cluster",17940,"Columbia, TN Micro Area",2,3507,1639,6710994,6710994,3507,1639,6710994,6710994,80956,35254,1594340444,1588021250,100,100,100,100,4.33,4.65,.42,.42
60166,"Mount Pleasant, TX Urban Cluster",34420,"Mount Pleasant, TX Micro Area",2,15987,5645,36381001,35582745,15987,5645,36381001,35582745,32334,12054,1102411397,1051675541,100,100,100,100,49.44,46.83,3.3,3.38
60176,"Mount Pleasant, UT Urban Cluster",99999,"Not in a metro/micro area",,3207,1119,5194439,5194439,3207,1119,5194439,5194439,,,,,100,100,100,100,,,,
60195,"Mount Pocono--Emerald Lakes, PA Urban Cluster",20700,"East Stroudsburg, PA Micro Area",2,24216,11296,45710005,44640418,24216,11296,45710005,44640418,169842,80359,1598691136,1575452175,100,100,100,100,14.26,14.06,2.86,2.83
60223,"Mount Shasta--Weed, CA Urban Cluster",99999,"Not in a metro/micro area",,7746,3981,18952934,18938178,7746,3981,18952934,18938178,,,,,100,100,100,100,,,,
60247,"Mount Sterling, IL Urban Cluster",99999,"Not in a metro/micro area",,4088,997,3814443,3814443,4088,997,3814443,3814443,,,,,100,100,100,100,,,,
60274,"Mount Sterling, KY Urban Cluster",34460,"Mount Sterling, KY Micro Area",2,10835,5053,15232674,15181404,10835,5053,15232674,15181404,44396,20848,1783972519,1760525045,100,100,100,100,24.41,24.24,.85,.86
60301,"Mount Union, PA Urban Cluster",26500,"Huntingdon, PA Micro Area",2,2917,1461,4004353,3884547,3859,1886,6281446,6102326,45913,22365,2303188808,2265305450,75.59,77.47,63.75,63.66,6.35,6.53,.17,.17
60301,"Mount Union, PA Urban Cluster",30380,"Lewistown, PA Micro Area",2,942,425,2277093,2217779,3859,1886,6281446,6102326,46682,21537,1074110362,1064565502,24.41,22.53,36.25,36.34,2.02,1.97,.21,.21
60328,"Mount Vernon, IL Urban Cluster",34500,"Mount Vernon, IL Micro Area",2,16008,7893,28025113,27848021,16008,7893,28025113,27848021,47284,21058,2640946777,2605097951,100,100,100,100,33.86,37.48,1.06,1.07
60355,"Mount Vernon, IN Urban Cluster",21780,"Evansville, IN-KY Metro Area",1,7011,3196,13279114,13216508,7011,3196,13279114,13216508,358676,159314,6080794027,5915427312,100,100,100,100,1.95,2.01,.22,.22
60382,"Mount Vernon, IA Urban Cluster",16300,"Cedar Rapids, IA Metro Area",1,6455,2197,8868835,8852660,6455,2197,8868835,8852660,257940,112257,5231771006,5202679068,100,100,100,100,2.5,1.96,.17,.17
60409,"Mount Vernon, KY Urban Cluster",40080,"Richmond-Berea, KY Micro Area",2,2626,1227,4825736,4825736,2626,1227,4825736,4825736,99972,42746,1971895588,1952430040,100,100,100,100,2.63,2.87,.24,.25
60436,"Mount Vernon, MO Urban Cluster",99999,"Not in a metro/micro area",,4559,2000,7552988,7552988,4559,2000,7552988,7552988,,,,,100,100,100,100,,,,
60463,"Mount Vernon, OH Urban Cluster",34540,"Mount Vernon, OH Micro Area",2,22153,9256,34792010,34542040,22153,9256,34792010,34542040,60921,25118,1371743293,1361024108,100,100,100,100,36.36,36.85,2.54,2.54
60473,"Mount Vernon, TX Urban Cluster",99999,"Not in a metro/micro area",,2585,1110,7380856,7363781,2585,1110,7380856,7363781,,,,,100,100,100,100,,,,
60490,"Mount Vernon, WA Urbanized Area",34580,"Mount Vernon-Anacortes, WA Metro Area",1,62966,24662,92751444,89280199,62966,24662,92751444,89280199,116901,51473,4973124821,4483794950,100,100,100,100,53.86,47.91,1.87,1.99
60517,"Mukwonago, WI Urban Cluster",33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1,18691,7206,51860334,51375930,20255,7922,56997112,56512708,1555908,669879,8604086875,3767799619,92.28,90.96,90.99,90.91,1.2,1.08,.6,1.36
60517,"Mukwonago, WI Urban Cluster",48580,"Whitewater, WI Micro Area",2,1564,716,5136778,5136778,20255,7922,56997112,56512708,102228,51531,1493278758,1437771449,7.72,9.04,9.01,9.09,1.53,1.39,.34,.36
60546,"Muldrow--Roland, OK Urban Cluster",22900,"Fort Smith, AR-OK Metro Area",1,5841,2460,11077483,11010360,5841,2460,11077483,11010360,298592,128891,10600106576,10350493246,100,100,100,100,1.96,1.91,.1,.11
60571,"Muleshoe, TX Urban Cluster",99999,"Not in a metro/micro area",,5105,1874,6286592,6286592,5105,1874,6286592,6286592,,,,,100,100,100,100,,,,
60598,"Mullins, SC Urban Cluster",99999,"Not in a metro/micro area",,5512,2608,10025694,10025694,5512,2608,10025694,10025694,,,,,100,100,100,100,,,,
60625,"Muncie, IN Urbanized Area",34620,"Muncie, IN Metro Area",1,89197,40041,120299501,119592510,90580,40634,121575098,120868107,117671,52357,1025400252,1015596276,98.47,98.54,98.95,98.94,75.8,76.48,11.73,11.78
60625,"Muncie, IN Urbanized Area",99999,"Not in a metro/micro area",,1383,593,1275597,1275597,90580,40634,121575098,120868107,,,,,1.53,1.46,1.05,1.06,,,,
